,,WardName,total,nets_per_capita,settlement_type_poor,distance_to_water_bodies,test_positivity_rate,enhanced_vegetation_index,housing_quality,dumpsites,rainfall
38,38,Kan Karofi,156,5.608283003,0.882352941,7.3115,0.501045205,7.3115,NA,7.3115,7.3115
39,39,Kantudu,84,7.809594645,1,6.313666667,0.572280946,6.313666667,6.313666667,6.313666667,6.313666667
40,40,Kaura Goje,329,3.58417082,0.857142857,6.596666667,0.729132718,6.596666667,6.596666667,6.596666667,6.596666667
41,41,Kawaji,386,2.955680113,0.486486486,7.4475,0.669660856,7.4475,7.4475,7.4475,7.4475
42,42,Kofar Mazugal,108,3.18734506,0.88,6.324,0.559748428,6.324,6.324,6.324,6.324
43,43,Kofar Ruwa,312,3.466840009,0.878787879,6.807,0.492116021,6.807,6.807,6.807,6.807
44,44,Kwachiri,300,2.597638746,0.552631579,6.403,0.595204882,6.403,6.403,6.403,6.403
45,45,Madigawa,63,3.646677472,1,6.154,0.806818182,6.154,6.154,6.154,6.154
46,46,Mandawari,47,2.716134998,0.928571429,6.772,0.519758526,6.772,6.772,6.772,6.772
47,47,Rijiyar Lemo,107,3.566131747,1,7.81,0.549139865,7.81,7.81,7.81,7.81
48,48,Sabon Gari East,138,3.096947935,0.347826087,7.094666667,0.73744933,7.094666667,7.094666667,7.094666667,7.094666667
49,49,Sabon Gari West,139,3.583536357,0.35,6.403,0.531264619,6.403,6.403,6.403,6.403
50,50,Sani Mai Nagge,171,4.180366943,0.666666667,7.094666667,0.637591446,7.094666667,7.094666667,7.094666667,7.094666667
51,51,Shahuchi,156,4.81436904,0.916666667,7.071,0.49557812,7.071,7.071,7.071,7.071
52,52,Sharada,179,2.731427438,0.333333333,6.0295,0.683083738,6.0295,6.0295,6.0295,6.0295
53,53,She She,144,9.683601762,1,7.6232,0.494948934,7.6232,7.6232,7.6232,7.6232
54,54,Tarauni,90,3.020742431,0.105263158,5.415,0.590511054,5.415,5.415,5.415,5.415
55,55,Tudun Murtala,252,4.132570229,0.913043478,7.17725,0.673423392,7.17725,7.17725,7.17725,7.17725
56,56,Tudun Nufawa,122,5.97453477,1,5.328,0.450595362,5.328,5.328,5.328,5.328
57,57,Tudun Wada,73,3.688918086,0.625,8.10475,0.661901082,8.10475,8.10475,8.10475,8.10475
58,58,Tudun Wazurchi,144,4.777387035,1,7.958333333,0.330140163,7.958333333,7.958333333,7.958333333,7.958333333
59,59,Unguwa Uku Cikin Gari,85,2.917102802,0.333333333,7.905,0.820126509,7.905,7.905,7.905,7.905
60,60,Unguwa Uku Kauyen Alu,194,3.419134818,0.55,7.141333333,NA,7.141333333,7.141333333,7.141333333,7.141333333
61,61,Unguwar Gano,72,3.4428346,0.461538462,7.211,NA,7.211,7.211,7.211,7.211
62,62,Yakasai,120,3.623899618,0.888888889,7.92125,NA,7.92125,7.92125,7.92125,7.92125
63,63,Yalwa,282,12.3195212,0.928571429,8.062,0.568500671,8.062,8.062,8.062,8.062
64,64,Yammata,108,2.554792009,1,6.35508,0.552886656,6.35508,6.35508,6.35508,6.35508
65,65,zaitawai,158,6.53446101,0.833333333,8.801,0.735066982,8.801,8.801,8.801,8.801
66,66,Zango,681,23.00209417,0.857142857,7.0782,1,7.0782,7.0782,7.0782,7.0782
